"iteration","status","n_pres","n_abs","loglik","pBIC","mu1","mu2","mu3","sigltil1","sigltil2","sigltil3","sigrtil1","sigrtil2","sigrtil3","ctil","pd","o_par1","o_par2","o_par3"
71,"success",589,589,-310.071864254887,705.002608880312,43.4209936032949,-48.6695789743683,36.0712056320832,Inf,-7.35924109044829,0.827121851495235,2.1091163340666,2.32681308937898,1.60218959635596,-3.6372999175378,Inf,10.6534683940105,-3.54408079117886,2.1600655353916
72,"success",574,574,-319.251984124934,723.053287172421,36.4362463324061,19.1975958430034,22.9259348304923,Inf,-0.878566627961338,1.75635664490001,-1.49705987364021,2.0876007473722,0.208596333154488,-4.53109048534918,Inf,5.86106745753135,1.45500751800217,-5.55218023437424
73,"success",561,561,-329.447715037048,743.169847107087,29.5751805803325,1.80776825416145,16.6174239033275,Inf,0.952720681827047,2.23005533997025,-0.898939365759875,1.19364396956004,0.872512807332915,-4.28601016551036,Inf,-2.13620580547989,-0.215643339985744,-11.110023081459
74,"success",569,569,-339.913031520608,764.270394417452,17.7505749428432,-6.48701798763037,12.1559736792623,Inf,-1.09994850519657,-0.344610900215507,-0.310880268442354,2.8327540605609,10.6504334661335,-2.42168413873717,Inf,-0.490342218957136,-1.82495065402362,0.163647154006689
75,"success",577,577,-361.888419775305,808.388712915427,29.6750929611867,1.90338828068844,8.16381175438824,Inf,1.68340457008592,1.66088951627481,-2.21950981509564,-0.328118548290319,1.00113521885482,-4.72566371956512,Inf,2.67027366585392,2.61493803633987,10.0016473661687
76,"success",565,565,-307.364699253421,699.089073447318,22.3939801773269,-12.7430362090006,15.098688751336,Inf,-1.86748283786225,-0.0308882397736169,-1.66114517046225,2.60392454835725,2.08282698464029,-3.39673971560494,Inf,-4.98050255239078,0.412627409225812,-4.70497949622327
77,"success",561,561,-325.186855502832,734.648128038655,18.2107980922096,-6.10212015634769,16.239053328114,Inf,0.540183675438504,2.27084752427912,-0.217615780715691,1.49247988399492,-0.767505562874613,-3.79424917201743,Inf,-2.08284126012007,-1.29313458163906,0.797686594073439
78,"success",524,524,-310.136204258795,703.728074896162,23.3444092542425,3.94967532159296,7.52064028464226,Inf,90.5865246794327,-0.526599419176594,1.58361269946669,-1.26584397708719,2.11738239424541,-2.96868227889376,Inf,-11.0972579222797,2.1400144587507,0.745690916009926
79,"success",596,596,-375.246629496614,835.493913164732,18.1131295016993,-2.43328449229196,19.2534327931614,Inf,1.203912927573,2.43854433951278,-1.1281050598747,2.03739876622373,-0.390591129881924,-2.99604469158748,Inf,-7.97534232289031,-4.27888809364342,2.47243864906826
80,"success",575,575,-367.323567605492,819.217341867271,198.151729844663,-354.144547147501,46.63834552187,Inf,119.721764919789,0.548480872536749,3.71066305012865,0.236837301386983,1.7343421888065,-50.5683174622041,Inf,8.11039253811736,-1.7579898419482,0.630741639828563
81,"success",557,557,-332.397667360742,748.983883767331,21.1704490182165,8.07093813037709,9.50171224317586,Inf,2.32506568187416,-0.891234918989322,-0.188199171296472,1.41308578667761,18.7011253699025,-2.2365456885131,Inf,-1.76952546472019,-7.94182302863035,1.11791293607291
82,"success",598,598,-370.73700232292,826.514859859967,17.8303342034748,-6.82433133435448,11.7944321133154,Inf,-0.904558163041141,0.496198320782559,-1.14527011930737,2.31823348940471,1.4193824122641,-3.55130652847988,Inf,-0.408042004525894,-2.09974660081692,0.133046772409854
83,"success",563,563,-327.266333492333,738.849788689061,-1.56227826212434,-22.5845608712192,17.8980029488643,Inf,0.723409880039721,9.45835354358837,-8.34102458268734,10.2268348762108,3.65872477175171,-1.65093340239765,Inf,-2.22031037666688,-1.48081893323737,1.19426416033198
84,"success",572,572,-360.960107519939,806.427649103156,20.7424326998133,3.06405354240078,16.6405382246971,Inf,1.1480902930505,1.72521841189278,-3.53015613834493,1.05566032147994,44.3844403442087,-3.7781394182942,Inf,-7.89521875119124,-5.394031109875,-0.0887303053722654
85,"success",598,598,-364.717779138659,814.476413491445,19.4780876758661,-0.203191914724463,14.103976693959,Inf,-3.12525930232883,1.30315404569856,1.97095745640958,2.69959557736578,0.685918499719216,-4.06890078210426,Inf,0.320117587496923,2.63341353508692,-2.01746051437172
86,"success",581,581,-344.060417767726,772.815610784394,15.5726725821302,-8.49448455957388,14.6650280138011,Inf,2.26605714315767,-1.26223063523631,-0.355529639857626,-0.681988437169776,2.70335025050009,-2.57477650670582,Inf,-1.73967650571918,3.17973208928951,1.6116456514451
87,"success",563,563,-314.168285280622,712.653692265641,28.7359134872718,15.5441851317799,11.2898046796223,Inf,2.0157647873461,10.2002974939671,-11.9190245919252,0.603834305704624,0.353490838303192,-2.77864505705519,Inf,-6.99617246220819,-3.33685006613663,7.62046306463971
88,"success",559,559,-300.51577525137,685.26311034732,20.2443851777431,3.72540439005564,17.9283264660572,Inf,1.06989786093433,1.75923543620568,-7.88409743849649,1.40300450185727,46.3794269668863,-3.47636404813952,Inf,7.90957232752155,5.00505442262814,0.226106948420968
89,"success",579,579,-364.563373996272,813.780143890139,19.5418536056816,-5.0532150352835,14.7039022604215,Inf,2.33459693816177,11.8976318521691,0.347522867676905,-0.371247063374198,-0.321753775579934,-2.81680355334097,Inf,-7.53317360943319,1.88606038469559,5.43731624860212
90,"success",585,585,-360.117535762636,805.012179858774,16.5704667179545,1.74443047489114,13.2105906069401,Inf,0.858529897200162,2.14578863626666,0.141781676032296,1.85547694365729,-0.760100752985549,-3.11589017428889,Inf,-0.379926630370386,-9.82299952572342,1.72103920958832
91,"success",592,592,-374.871796610362,834.663439006051,21.4773842533495,-6.96130994167088,17.6483105320243,Inf,-0.943514492794756,0.482399981522835,0.322573411798454,2.09505308964689,1.5322298535477,-4.38754540165643,Inf,-0.400413011211429,-2.24275221837157,-0.13324728097232
92,"success",586,586,-346.089761968127,776.977127577897,17.3556081865353,-7.22359178475324,13.0069067260463,Inf,-1.38977284030938,0.251246389160525,-0.691258400564565,2.27086984017897,2.51674374562314,-3.35365514088852,Inf,-0.391167128107906,-2.04281621049538,0.10100472744842
93,"success",555,555,-328.15018285457,740.445749240817,9.65775347940948,-4.63006783884771,19.3299609972815,Inf,-0.502549787905654,-0.314842651515563,-10.960065988932,6.0264659858328,46.5164547970154,-1.8628445845321,Inf,-8.00095689866682,-1.6107469581828,-2.42924960975011
94,"success",546,546,-328.343689806743,740.636573489143,34.4546228484055,6.17016975241217,2.9489991406767,Inf,6.67660460439062,-1.05499759159571,-9.85473695403066,1.7250515853005,2.38344364592214,-2.38619141233348,Inf,5.80354296276278,-3.63506547957937,-0.612673720806007
95,"success",575,575,-362.990914092709,810.552034841706,17.0300938507415,-7.44778056137137,14.1244432888033,Inf,3.2819314376033,2.44680555734007,-0.769647908847335,0.120917780463174,-1.27623794191806,-2.70717945032645,Inf,-2.82256387933282,-2.23333680173729,0.0456398266018552
96,"success",579,579,-370.1373095503,824.928014998196,18.4910404522075,-4.62629366404449,11.4873020879968,Inf,0.0383568015740649,-0.561458784815681,-0.505442650266707,2.18833879243237,1.66287931209432,-2.84737911050249,Inf,-2.17460942505403,-7.91019083492099,0.0253461095614196
97,"success",569,569,-343.059252381528,770.562836139292,19.1370964404578,-5.56842148101223,14.1039180602541,Inf,-0.580039210040589,1.91270190513217,-0.425593097580431,2.44454704460517,0.182777053313931,-3.40688911022117,Inf,-1.25788302223537,-9.41478273136989,1.76906428678226
98,"success",565,565,-323.071450033328,730.502575007132,-224.077190692642,-773.500347431711,233.812150122183,Inf,-0.779579673863924,288.489001917036,4.73203713963247,2.12542304537666,-0.124191075086959,-29.8195664336854,Inf,1.52137795879592,5.40783379475967,-7.58226175966348
99,"success",582,582,-335.657647676724,756.030706892944,27.8602470627905,3.85730157993602,15.8375312795915,Inf,1.029647698214,1.24838598147217,1.95418090489854,1.07577453777358,42.7338032034454,-3.67774401109644,Inf,9.41477632621327,3.53024897985179,1.63427633641067
100,"success",589,589,-344.027233958514,772.913348287566,23.876052877137,2.60528202772393,15.4787462893941,Inf,-0.571939426168597,1.37864922364568,1.8289900463127,1.33538077865881,0.909845183502201,-4.05515059496198,Inf,-1.61100024341936,-5.62658587822607,7.25159336931519
